date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:18	304/304	---MCZ	200	added ('OK')	text/plain	etag:W/%22211-j1+x0+u4tuIDKaQXcKlPsgyaGWo%22	https://www.winnovia.co/robots.txt		(from )
17:41:19	788731/788731	---MCZ	200	added ('OK')	text/html	etag:W/%22df7a3aba6a9b027ecae811e5170680c3%22	https://www.winnovia.co/	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/www.winnovia.co/index.html	(from )
17:41:20	39399/39399	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202024%2014:37:34%20GMT	https://static.wixstatic.com/media/43eeab_aa72b204b26044769b5176414fd3d54b~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/43eeab_aa72b204b26044769b5176414fd3d54b~mv2.png	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/static.wixstatic.com/media/43eeab_aa72b204b26044769b5176414fd3d54b_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/43eeab_aa72b204b26044769b5176414fd3d54b_mv2.png	(from https://www.winnovia.co/)
17:41:20	1433/1433	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202024%2014:37:34%20GMT	https://static.wixstatic.com/media/43eeab_aa72b204b26044769b5176414fd3d54b~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/43eeab_aa72b204b26044769b5176414fd3d54b~mv2.png	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/static.wixstatic.com/media/43eeab_aa72b204b26044769b5176414fd3d54b_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/43eeab_aa72b204b26044769b5176414fd3d54b_mv2.png	(from https://www.winnovia.co/)
17:41:20	36430/36430	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202024%2014:37:35%20GMT	https://static.wixstatic.com/media/43eeab_aa72b204b26044769b5176414fd3d54b~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/43eeab_aa72b204b26044769b5176414fd3d54b~mv2.png	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/static.wixstatic.com/media/43eeab_aa72b204b26044769b5176414fd3d54b_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/43eeab_aa72b204b26044769b5176414fd3d54b_mv2.png	(from https://www.winnovia.co/)
17:41:21	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.winnovia.co/)
17:41:21	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.winnovia.co/)
17:41:21	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2023%20Aug%202024%2014:41:15%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.winnovia.co/)
17:41:22	2958/2958	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Aug%202024%2014:41:17%20GMT	https://www.winnovia.co/c	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/www.winnovia.co/c.6.delayed	(from https://www.winnovia.co/)
17:41:23	2958/2958	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Aug%202024%2014:41:17%20GMT	https://www.winnovia.co/t	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/www.winnovia.co/t.7.delayed	(from https://www.winnovia.co/)
17:41:23	110387/110387	---MCZ	200	added ('OK')	text/xml	date:Fri,%2023%20Aug%202024%2014:41:18%20GMT	https://www.winnovia.co/blog-feed.xml	C:/Users/Khaled%20Maher/Downloads/Website%20Download/winnovia.co/www.winnovia.co/blog-feed.xml	(from https://www.winnovia.co/)
